0,Keeping tradition we drank hot cocoa on the ride.
1,Terry used that money to buy a new suit.
2,he found a wallet and contacted the owner.
3,Kelly and her friend weren't ready for the sudden rapids.
4,Ann walked in the woods to find pine cones.
5,Sally drinked soda pop four to six times a day.
6,College friends went to Bermuda for spring break.
7,I'd been putting it off for a week because it was so filthy.
8,Gina attempted to find a match on OKCupid.
9,Frank got the controller and it was broken!.
10,A bee got under my shirt and stung me.
11,Sharon came home crying.
12,Sam went to school for reading.
13,One day Gerald couldn't find any vanilla ice cream so he tired chocolate hazelnut and loved it.
14,I found out it was worth a lot more.
15,Sean threw his trash in the grass in the park.
16,Their chirping perked my spirits up.
17,After years of saving he bought one.
18,Sam bought tons of alcohol so people would have fun.
19,He had to rush to work and got a speeding ticket on the way.
20,The nerds invited Marty to join them.
21,Bill bought a gun to protect his family.
22,I made nachos and popcorn in my kitchen.
23,There was a lot of food at the party.
24,Eric quit his job and applied for new ones.
25,It was not as scary as I thought.
26,I kept waking up late.
27,Irene practiced every day for an upcoming concert.
28,It is Christmas and I get to open my presents.
29,Tameka got a wig and all the kids began to complement her.
30,John took all the garbage out at once.
31,School got cancelled and the children went sledding.
32,I took karate lessons.
33,He went fishing the other day.
34,Mark decided to try cross country.
35,Kelly was tempted to lie to her mother but couldn't.
36,I fell off the monkey bars and broke by leg.
37,He finally got free of it.
38,Arnold had to get a shot anyway.
39,Kelly made some new tasty foods.
40,I wrote the producers an email.
41,I was suppose to have a visitation with dad on one weekend.
42,David and I were told to throw out expired food.
43,Rufus was embarrassed by science teacher's sarcastic comment.
44,"Dave, became more and more depressed and began drinking."
45,Rick's friends buried him in the sand.
46,Galen cut the hair of a pretty girl.
47,He got ink on his shirt.
48,Quentin got a job in another city.
49,Eating could not control his appetite when he saw the delicious meals.
50,"We both slipped and fell down a long, steep hill."
51,The teacher slapped me.
52,Alex got in big trouble and was given detention.
53,a customer found that I bike into work.
54,One friend insulted the other when he became emotional.
55,Her navel got infected.
56,Jessica saw someone with even worse hair than hers.
57,Bob turned the stove and went to grab some bread.
58,Bill broke his leg.
59,Owen drank so much soda that he had multiple cavities.
60,The bus stopped near them.
61,Hannah avoided doing any exercise because it was difficult.
62,She got into a fight with a caller.
63,Sebastian knew he would do well.
64,Jackie caught kids drawing on the walls.
65,Madison got a job as a waitress.
66,Wilson sweated a lot at the concert.
67,He learned and saw a lot.
68,Some people don't think they tell the whole story.
69,It was still cold in the middle.
70,I studied hard but just couldn't pick up on it.
71,Ed went to his bank to cash his check.
72,Sam fell asleep and did not show up for work.
73,they raced each other into the bedroom.
74,I saw a snake among the plants.
75,Jim took his cat outside to play.
76,Mike had a bad fall and hurt his back which paralyzed his legs.
77,I told my cousin about losing both my parents.
78,Nikki saw a little girl talking with her hands.
79,Lana couldn't make the party because she had to help Ann with chores.
80,Nate was worried about his friend.
81,Greg told his girlfriend he had to move far away.
82,Jamal worked hard to graduate.
83,Roy found a teacher and started practicing a lot.
84,Matt Got into an accident after being distracted.
85,Bob's wife said the couch didn't match the recliner.
86,Anna found a piece of pretty fabric to add to her cloak.
87,Ben's playing kept him from hearing his mom calling.
88,My aunt had a long shift this weekend and was very tired.
89,Peyton's hairdresser cut too much off.
90,I returned to find he'd redecorated with porn.
91,I got distracted and started reading other things.
92,W found everything we were looking for.
93,My dog accidentally ate something it should not have.
94,Rita and Katie went into the house to investigate.
95,Jack was determined to do well and studied hard.
96,That family walked around naked for a week.
97,Perry decided to grow a beard.
98,We were going to go to a movie and lunch but decided to go to the Veteran's Day parade.
99,I was rushed to the hospital.
100,She was nervous after she made a big mistake.
101,Julie's friend came up from behind and scared her.
102,Lisa decided to buy a Mac.
103,The band members acted like they did not know Nick.
104,Lilly forgot to bring any sunscreen.
105,My daughter had drawn an inappropriate picture in art class.
106,Mandy asked Billy to find a spider she saw.
107,many friends hated the stories lies.
108,"Mike met a friend at the gym, and now they work out together."
109,He went to a barbeque and had some grilled chicken.
110,sadie's dad was feeling mischievous.
111,Kelly spilled the polish.
112,Peter even read book reviews to discover new authors.
113,Kim wanted a place to where the new blazer.
114,She crashed while trying to text.
115,Rachel worked hard to make enough money for the computer.
116,One of my friends was sad because he failed a test.
117,He moved the car near a shop.
118,Oliver suggests picking up freelance work to save up to buy a radio.
119,Johnny loved the shows he found.
120,He practiced playing it daily.
121,"I got a hot dog and put mustard on it. When I started to bite it, it fell our of my hand and landed on my shirt."
122,I wrote the book for years.
123,Bo hurt his neck while driving fast.
124,Jan decide to find what was stinking.
125,The girl's mom had bad news.
126,Eva fell asleep before midnight.
127,They enjoyed the World Showcase.
128,He wasn't wearing appropriate cold weather gear.
129,My screen was damaged shortly after.
130,Fred dumped her and left.
131,Peter eventualy found a wife and had several children.
132,The man now has an interview tomorrow.
133,Tim tried but failed.
134,He thought the phone was new.
135,"In fact, I can learn even faster than most people."
136,Gary was nervous when they put him to sleep.
137,Jane almost drowned once.
138,Her brother Jay had been locked up in the county jail.
139,Maggie got a letter from MIT.
140,The milk spilled and the cat licked it up.
141,Padraig found a bone in an archeological dig.
142,Lee won a free vacation.
143,I brought her a can of gas in my car.
144,Gina yelled at Mary to share and Mary hit Gina.
145,One biker thought he would lose.
146,The trash bag broke when Ted went outside.
147,I put too much milk.
148,Rita felt her water break.
149,Erica and her kids visited the pandas.
150,Alex was asked to try strawberry cake.
151,Terry has a notebook in his truck.
152,I started hearing the cat crying during the night.
153,Lisa burnt the food so they ordered pizza.
154,Ali found a love note on his desk after recess.
155,The Lees had to improvise with no power.
156,I went to a local place.
157,One of my friends was running very late.
158,I saw my idea shown on tv.
159,Elizabeth put in too much sugar.
160,My mom told me to try and put blueberries in it.
161,She confronted the family member one day.
162,Spencer decided not to apply to unsafe colleges.
163,Miles cut back on coffee by taking alternatives.
164,He made a bunch of bacon.
165,Peter decided to try a new restaurant.
166,Anna decided to get a bird feeder.
167,Gary told his mother he was sick and she let him stay home.
168,Noel studied reading very hard.
169,I rode all day.
170,Michael broke into peoples houses.
171,"one day someone else hit tom, but he did not have coverage."
172,I got a lot of sun exposure.
173,Lindsay saw someone stealing a parrot.
174,Becca won first place in backstroke.
175,I asked the editor to set up an online account for my stories.
176,Roxy was not concentrating.
177,Marcus plays the sport everyday.
178,Amy picked a ring with huge diamonds.
179,Robin got pregnant and had a baby.
180,Clara fell asleep on the bus.
181,Lorraine wanted to make a change in her routine.
182,Her mother walked into the room and informed her that her grandma had passed.
183,We arrived to the top of the mountaun.
184,Bob saw a girl he liked.
185,Robert decided to fire Tim.
186,The dog was barking at a skunk in the yard.
187,They found a new babysitter that worked out much better.
188,The child didn't recognize the stuff animal.
189,when she got there she saw her science teacher.
190,They became close and formed a strong bond.
191,jason proceeded to take the driving test.
192,Miles goes inside and watches tv.
193,The new release came out and I realized something.
194,I forgot to water his flowers while he was gone.
195,Bill dropped his anchor in the boat creating a hole.
196,The dogs play on the trampoline.
197,Matt's new parents left out presents.
198,She purchased one ticket because the jackpot was big.
199,"The Lewis's cat, Muffin, fell into the pool."
200,Reba saw another girl wearing the opposite.
201,Jay received an email saying that he was accepted into the private beta for the game.
202,she went on vacation to de-stress.
203,Gary's ball got stolen by kids on the block.
204,A severe thunderstorm started before Alfred could go fishing.
205,He trained every single day for six months until the day of the marathon.
206,Wendy's first patient died.
207,Ken found some leftovers in his fridge.
208,Alice found out she was pregnant.
209,His family didn't watch his weight and kept feeding him bad food.
210,Daniel was messing around with the gun he bought.
211,Everyone had a great time.
212,I practiced doing push ups everyday.
213,The sever put hot sauce in his food.
214,The chemicals caused a fire.
215,Ida traded a craft for a TV.
216,He had such a bad time with a leaky roof and wet fire wood and his supplies missing that it turned him off of the cabin.
217,tim went to the pet store to buy puppy pads.
218,Mason only plays because his parents make him.
219,Thumper got out of his cage and got away.
220,Sara finished her last visit today.
221,She got a large dog and luckily the dog was there to bark loudly when someone actually tried to break in.
222,"Howard , found an old coin when he left work."
223,I saved up and applied for a home loan.
224,We drove all the way to the movies.
225,Emily's stomach made grumbling sounds.
226,Fabian had been drinking the night before.
227,Henry left the chicken in the oven too long.
228,It cried disconsolately and non-stop.
229,David finally got beat by a random.
230,Max was very apologetic when he got to work.
231,Thelma manage to overcome her brother older brother.
232,Stan found out his friend was upset.
233,Lauren's camera fell from her hands onto the sidewalk.
234,They got to know a scientist on their tour.
235,Jimmy and the boys went to the cafeteria.
236,Robert trained for a week.
237,Adam has seasonal allergies in the spring.
238,Ricky went to the grocery and bought a bag of chips.
239,We were forced to just prepare some food and entertain ourselves by talking.
240,Her mom yelled at her for playing.
241,Alex was given detention.
242,She put schooling on hold to train in boxing.
243,Tami made an offhand comment about Gina's weight.
244,Reese wasn't feeling well so went to her Dr.
245,I hit it with the Frisbee inside.
246,Sam bought them and gave it a good wash.
247,Ray drank the water because he was thirsty.
248,Molly got a gift she didn't like.
249,She talked to her doctor about her doubts.
250,Jerry did not see the washer overflowing.
251,The bus driver said this was the wrong bus.
252,Tom's job was to open the body bags when they arrived.
253,Sammy thought his purchase was safe since no one knew he ordered the fireworks.
254,Eva decided that she would just start talking to other kids in her classes.
255,The coffee shop offered discount for lunch specials.
256,She was discouraged when she almost botched a hard surgery.
257,I found a lizard outside and kept it in a glass case in my room.
258,He worked on the story all night long.
259,Carrie was going too fast and wrecked her bike.
260,She decided to get a degree in psychology.
261,The were a lot more committments than planned.
262,I dieted with the goal of losing 30 pounds.
263,she had found a way to defend herself.
264,rena's city has a lot of public transportation.
265,We all got pancakes.
266,Greg called to ask what his father wanted to eat.
267,My brother also had something else planned.
268,Larissa continued and became violent and aggressive.
269,Her friend was insulting and rude to her.
270,Bob and Jane partook in many activities.
271,She knew she was going to get married.
272,Harry threw the white clothes in with his red bedspread.
273,Abbey learned a lot about the world.
274,The lights were off in the house.
275,I had food poisoning.
276,She loved that cat so much.
277,Jimmy accidentally broke a window and had to tell his mom.
278,Bob was an awesome guy.
279,Joe was excited from playing games at the arcade.
280,She remembered the rules to always cross at the crosswalk and look both ways before crossing.
281,Frank went to the market which was closed.
282,She bought some new accessories for it too.
283,Paul was stealing coffee.
284,Alison was in a turtle exhibit.
285,There were so many pizzas that Sarah couldn't make her way down the street. The cashier at the pizza place saw that she was struggling.
286,Amy and her friends were watching a silly movie about teen girls.
287,Mia was her sister's baby sitter for the night.
288,Eric woke up because it started raining heavily.
289,The submarine captured Kyo' sattention.
290,Sam was getting tired and wanted to get off the phone without being rude.
291,Bri asked her brother if he knew where it was and he said he took it.
292,Jackson laid a penny on the railroad track to see what would happen.
293,Ari was too afraid and just went home.
294,He loved the cold sting on his face.
295,Lucy was dressed like an adult.
296,Lily realized she was out of diapers.
297,She was a bit late because of traffic.
298,Erin found an old baseball card.
299,They kicked the hornet's nest.
300,George's car has a flat tire.
301,Leroy borrowed too much money from the bank.
302,The berries were ripe and delicious and Kelly ate a ton of them.
303,Ryan's father told him he would amount to nothing.
304,Beth dreamed of her friend.
305,Katie didn't know I dated her sister.
306,I was late again the next day.
307,Fred's bike hit a rock and the tires popped.
308,The girl cheated on Jermaine.
309,My daughter's troop spent a weekend camping at a state park.
310,Erica explained her situation to the professor.
311,Josh brought sweet deserts with him.
312,The guy did not at all call Amy.
313,The toddler had stubbed his toe and was feeling discomfort.
314,Tim had to write a long paper on Mars.
315,An old lady gave me some cookies.
316,"She hadn't had much practice, but tried hard then took a nap while it baked."
317,There was a swarm of bees near the playground.
318,Omar quickly got bored and stopped reading.
319,Charles took the opportunity to ask Lucy on a date.
320,Jess went into a tournament for a scholarship.
321,Jose went to a local shelter to find a dog.
322,Margaret forgot that she have the cake in the oven.
323,"On Saturday, Mary made her first sale to a young couple with a baby."
324,Lucy asked why he wasn't there.
325,After he died he received a award for bravery.
326,Jim's neighbors were playing loud music.
327,Her mom said mermaid lives in the ocean.
328,A huge tornado headed for Joey's mobile home.
